                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79583,                 3.0843,                0.98468,                0.81455,                0.78912,                0.85986,                0.72014,                0.61832,                  1.197,                 0.8826,              0.0002545,              0.0002545,              0.0002545
                      2,                0.69491,                 1.5538,                0.95555,                 0.8706,                0.92504,                0.92205,                0.79731,                0.52195,                0.63851,                0.86997,             0.00050578,             0.00050578,             0.00050578
                      3,                0.67588,                 1.3001,                0.94562,                   0.89,                 0.9179,                0.92073,                0.78506,                0.56953,                0.58194,                0.90088,             0.00075198,             0.00075198,             0.00075198
                      4,                0.65035,                 1.0507,                0.93987,                0.94358,                0.93872,                0.96848,                0.83173,                0.53451,                0.50155,                0.89555,             0.00074616,             0.00074616,             0.00074616
                      5,                0.62495,                0.88745,                 0.9317,                0.95331,                0.96454,                0.97851,                0.84825,                0.50336,                0.47606,                 0.8846,             0.00073855,             0.00073855,             0.00073855
                      6,                0.60351,                0.75597,                0.92674,                0.97672,                 0.9702,                0.98195,                0.85746,                0.50887,                0.45819,                0.88089,             0.00073093,             0.00073093,             0.00073093
                      7,                0.60063,                0.70282,                 0.9222,                0.96367,                0.97436,                0.98155,                0.86279,                0.47537,                0.42259,                0.86486,             0.00072332,             0.00072332,             0.00072332
                      8,                0.57442,                 0.6191,                0.91325,                0.97287,                0.98182,                 0.9812,                0.86964,                0.44898,                0.40191,                0.85744,             0.00071571,             0.00071571,             0.00071571
                      9,                 0.5833,                0.60406,                0.92298,                0.96367,                0.98609,                0.98548,                0.87154,                0.46608,                0.39513,                0.86025,              0.0007081,              0.0007081,              0.0007081
                     10,                0.55918,                0.57577,                0.91545,                0.95799,                0.98042,                0.98031,                0.87569,                0.45947,                0.40165,                0.85887,             0.00070048,             0.00070048,             0.00070048
                     11,                0.54971,                0.52881,                 0.9025,                0.98162,                0.98244,                0.98595,                0.88414,                0.44016,                0.35748,                0.85334,             0.00069287,             0.00069287,             0.00069287
                     12,                0.54959,                0.51714,                0.90369,                0.97734,                0.97776,                0.98381,                0.88295,                0.43207,                0.35303,                0.85083,             0.00068526,             0.00068526,             0.00068526
                     13,                0.54889,                0.50791,                0.90591,                0.97298,                0.97702,                0.98282,                0.87529,                0.44225,                0.35959,                0.85224,             0.00067764,             0.00067764,             0.00067764
                     14,                0.54281,                0.48966,                0.89853,                 0.9714,                0.98626,                0.98578,                0.87587,                 0.4473,                0.35064,                0.85757,             0.00067003,             0.00067003,             0.00067003
